date,rain_in,rain_mm
2011-04-09,0,0
2011-04-10,0,0
2011-04-11,1.2201,30.990539999999996
2011-04-12,0.2507,6.367779999999999
2011-04-13,0,0
2011-04-14,0,0
2011-04-15,1.5602,39.62908
2011-04-16,1.9008,48.280319999999996
2011-04-17,0,0
2011-04-18,0,0
2011-04-19,0,0
2011-04-20,0.8513000000000001,21.62302
2011-04-21,0.12010000000000001,3.0505400000000003
2011-04-22,3.0000000000000003e-4,0.00762
2011-04-23,0,0
2011-04-24,0.2403,6.10362
2011-04-25,0.0101,0.25654
2011-04-26,1.2101,30.736539999999998
2011-04-27,3.3103000000000002,84.08162
2011-04-28,1e-4,0.00254
2011-04-29,1e-4,0.00254
2011-04-30,0,0
2011-05-01,1.2702,32.263079999999995
2011-05-02,0.2203,5.595619999999999
2011-05-03,3.681,93.4974
2011-05-04,0,0
2011-05-05,0,0
2011-05-06,2e-4,0.00508
2011-05-07,3.0000000000000003e-4,0.00762
2011-05-08,0,0
2011-05-09,0,0
2011-05-10,0,0
2011-05-11,0,0
2011-05-12,0.0601,1.52654
2011-05-13,0.08030000000000001,2.03962
2011-05-14,0.3405,8.6487
2011-05-15,3.0000000000000003e-4,0.00762
2011-05-16,0.0609,1.54686
2011-05-17,0,0
2011-05-18,0,0
2011-05-19,2e-4,0.00508
2011-05-20,0,0
2011-05-21,0.17,4.3180000000000005
2011-05-22,0,0
2011-05-23,0.7307,18.55978
2011-05-24,0.5804,14.74216
2011-05-25,0,0
2011-05-26,1.3805,35.0647
2011-05-27,1e-4,0.00254
2011-05-28,0,0
2011-05-29,0,0
2011-05-30,0,0
2011-05-31,0,0
2011-06-01,0,0
2011-06-02,0,0
2011-06-03,0,0
2011-06-04,0,0
2011-06-05,0.03,0.7619999999999999
2011-06-06,0,0
2011-06-07,0,0
2011-06-08,0,0
2011-06-09,0,0
2011-06-10,0,0
2011-06-11,0,0
2011-06-12,0,0
2011-06-13,0,0
2011-06-14,0.0404,1.02616
2011-06-15,5.4701,138.94054
2011-06-16,0,0
2011-06-17,0.0306,0.7772399999999999
2011-06-18,0.1205,3.0606999999999998
