station,date,rain_in
ASH,2011-07-30,0.1201
ASH,2011-08-01,4e-4
ASH,2011-08-02,0.0102
ASH,2011-08-04,1e-4
ASH,2011-08-05,2e-4
ASH,2011-08-06,2e-4
ASH,2011-08-07,0.3303
ASH,2011-08-08,0.1302
ASH,2011-08-09,0.0101
ASH,2011-08-10,1.1202
ASH,2011-08-13,1e-4
ASH,2011-08-14,5e-4
ASH,2011-08-15,1.2703
ASH,2011-08-16,0.6403
ASH,2011-08-19,2e-4
ASH,2011-08-21,0.0101
ASH,2011-08-22,0.050300000000000004
ASH,2011-08-24,0.02
ASH,2011-08-25,0.1901
ASH,2011-08-26,0.1901
ASH,2011-08-27,0.2802
ASH,2011-08-28,2.7605
ASH,2011-08-29,1e-4
ASH,2011-08-30,2e-4
ASH,2011-08-31,2e-4
ASH,2011-09-03,1e-4
ASH,2011-09-05,0.0105
ASH,2011-09-06,0.3508
ASH,2011-09-07,2.0006
ASH,2011-09-08,0.8303
ASH,2011-09-10,3.0000000000000003e-4
ASH,2011-09-11,2e-4
ASH,2011-09-12,1e-4
ASH,2011-09-13,3.0000000000000003e-4
ASH,2011-09-15,0.0304
ASH,2011-09-16,2e-4
ASH,2011-09-18,1e-4
ASH,2011-09-19,2e-4
ASH,2011-09-20,0.1001
ASH,2011-09-21,2e-4
ASH,2011-09-22,0.2902
ASH,2011-09-23,0.5501
ASH,2011-09-24,0.3002
ASH,2011-09-25,2e-4
ASH,2011-09-26,4e-4
ASH,2011-09-27,2e-4
ASH,2011-09-29,1.7003
ASH,2011-09-30,0.01
ASH,2011-10-01,0.1107
ASH,2011-10-02,0.0507
ASH,2011-10-03,0.0201
ASH,2011-10-04,1.8105
ASH,2011-10-05,0.0402
ASH,2011-10-06,0.04
ASH,2011-10-07,1e-4
ASH,2011-10-11,2e-4
ASH,2011-10-12,3.0000000000000003e-4
ASH,2011-10-13,0.5302
ASH,2011-10-14,0.7502
ASH,2011-10-15,0.0405
ASH,2011-10-17,0.020300000000000002
ASH,2011-10-19,0.7901
ASH,2011-10-20,0.4104
ASH,2011-10-21,0
ASH,2011-10-22,2e-4
ASH,2011-10-25,0.0101
ASH,2011-10-26,0.060200000000000004
ASH,2011-10-27,0.86
ASH,2011-10-28,0.1701
ASH,2011-10-29,0.0704
ASH,2011-10-30,0.3603
ASH,2011-11-06,0
ASH,2011-11-10,0.6801
ASH,2011-11-11,0.0902
ASH,2011-11-15,5e-4
ASH,2011-11-16,0.0702
ASH,2011-11-17,0.1103
ASH,2011-11-23,1.3908
ASH,2011-11-24,0.01
ASH,2011-11-29,2e-4
ASH,2011-11-30,1.0403
ASH,2011-12-01,1e-4
ASH,2011-12-06,0.0603
ASH,2011-12-07,0.8003
ASH,2011-12-08,1.1001
ASH,2011-12-10,2e-4
ASH,2011-12-15,0.0404
ASH,2011-12-16,0.1104
ASH,2011-12-21,0.050300000000000004
ASH,2011-12-22,0.1301
ASH,2011-12-23,0.8104
ASH,2011-12-25,2e-4
ASH,2011-12-26,1e-4
ASH,2011-12-27,0.0601
ASH,2011-12-28,0.5301
ASH,2011-12-31,0.0303
ASH,2012-01-02,0.050300000000000004
ASH,2012-01-05,1e-4
ASH,2012-01-06,1e-4
ASH,2012-01-12,0.10060000000000001
ASH,2012-01-13,0.2908
ASH,2012-01-14,2e-4
ASH,2012-01-17,0.1211
ASH,2012-01-18,0.0101
ASH,2012-01-19,0
ASH,2012-01-20,6.000000000000001e-4
ASH,2012-01-21,0.0011
ASH,2012-01-22,0
ASH,2012-01-23,0.0104
ASH,2012-01-24,0.23
ASH,2012-01-25,0
ASH,2012-01-26,6.000000000000001e-4
ASH,2012-01-27,1.3506
ASH,2012-01-28,0
ASH,2012-01-29,1e-4
ASH,2012-01-30,4e-4
ASH,2012-01-31,3.0000000000000003e-4
ASH,2012-02-01,0.0101
ASH,2012-02-02,0
ASH,2012-02-03,0
ASH,2012-02-04,0
ASH,2012-02-05,0
ASH,2012-02-06,0.42
ASH,2012-02-07,0
ASH,2012-02-08,0
ASH,2012-02-09,0
ASH,2012-02-10,0
ASH,2012-02-11,2e-4
ASH,2012-02-12,0
ASH,2012-02-13,2e-4
ASH,2012-02-14,0
ASH,2012-02-15,4e-4
ASH,2012-02-16,0.0302
ASH,2012-02-17,0.04
ASH,2012-02-18,1e-4
ASH,2012-02-19,2e-4
ASH,2012-02-20,0
ASH,2012-02-21,0
ASH,2012-02-22,3.0000000000000003e-4
ASH,2012-02-23,0.0103
ASH,2012-02-24,0.1205
ASH,2012-02-25,0.6801
ASH,2012-02-26,0
ASH,2012-02-27,0
ASH,2012-02-28,0
ASH,2012-02-29,7e-4
ASH,2012-03-01,0.0023
ASH,2012-03-02,4e-4
ASH,2012-03-03,0.5707
ASH,2012-03-04,0.14
ASH,2012-03-05,0.0101
ASH,2012-03-06,0
ASH,2012-03-07,0.03
ASH,2012-03-08,0
ASH,2012-03-09,0.0103
ASH,2012-03-10,2e-4
ASH,2012-03-11,0
ASH,2012-03-12,0
ASH,2012-03-13,0.0204
ASH,2012-03-14,0.15009999999999998
ASH,2012-03-15,1e-4
ASH,2012-03-16,0.1801
ASH,2012-03-17,0
ASH,2012-03-18,1e-4
ASH,2012-03-19,0
ASH,2012-03-20,0
ASH,2012-03-21,0
ASH,2012-03-22,0
ASH,2012-03-23,0
ASH,2012-03-24,0
ASH,2012-03-25,0.1003
ASH,2012-03-26,1e-4
ASH,2012-03-27,0
ASH,2012-03-28,0.0107
ASH,2012-03-29,4e-4
ASH,2012-03-30,0
ASH,2012-03-31,1e-4
ASH,2012-04-01,0.0201
ASH,2012-04-02,0.1703
ASH,2012-04-03,0
ASH,2012-04-04,1e-4
ASH,2012-04-05,0
ASH,2012-04-06,0
ASH,2012-04-07,0
ASH,2012-04-08,0
ASH,2012-04-09,0
ASH,2012-04-10,0
ASH,2012-04-11,1e-4
ASH,2012-04-12,0.20090000000000002
ASH,2012-04-13,1e-4
ASH,2012-04-14,0
ASH,2012-04-15,0
ASH,2012-04-16,2e-4
ASH,2012-04-17,0
ASH,2012-04-18,0
ASH,2012-04-19,0
ASH,2012-04-20,0
ASH,2012-04-21,0
ASH,2012-04-22,0.5606
ASH,2012-04-23,2.0104
ASH,2012-04-24,0
ASH,2012-04-25,0
ASH,2012-04-26,0.0201
ASH,2012-04-27,0.0903
ASH,2012-04-28,0
ASH,2012-04-29,0
ASH,2012-04-30,0
ASH,2012-05-01,0.6704
ASH,2012-05-02,0.01
ASH,2012-05-03,0.0703
ASH,2012-05-04,0.0403
ASH,2012-05-05,0.030100000000000002
ASH,2012-05-06,3.0000000000000003e-4
ASH,2012-05-07,1e-4
ASH,2012-05-08,0.4404
ASH,2012-05-09,0.0111
ASH,2012-05-10,0.6105
ASH,2012-05-11,1e-4
ASH,2012-05-12,2e-4
ASH,2012-05-13,6.000000000000001e-4
ASH,2012-05-14,0.0512
ASH,2012-05-15,0.2705
ASH,2012-05-16,0.2711
ASH,2012-05-17,0.2505
ASH,2012-05-18,1e-4
ASH,2012-05-19,8e-4
ASH,2012-05-20,0.001
ASH,2012-05-21,0.0012000000000000001
ASH,2012-05-22,0.5109
ASH,2012-05-23,8e-4
ASH,2012-05-24,9.000000000000001e-4
ASH,2012-05-25,9.000000000000001e-4
ASH,2012-05-26,0.0011
ASH,2012-05-27,1e-4
ASH,2012-05-28,2e-4
ASH,2012-05-29,1e-4
ASH,2012-05-30,0.11019999999999999
ASH,2012-05-31,4e-4
ASH,2012-06-01,0
ASH,2012-06-02,1.5201
ASH,2012-06-03,0.0204
ASH,2012-06-04,0.2508
ASH,2012-06-05,0.0905
ASH,2012-06-06,0.2701
ASH,2012-06-07,0.07050000000000001
ASH,2012-06-08,0.0202
ASH,2012-06-09,0.0104
ASH,2012-06-10,0
ASH,2012-06-11,0
ASH,2012-06-12,0
ASH,2012-06-13,0.8603
ASH,2012-06-14,0
ASH,2012-06-15,0
ASH,2012-06-16,0
ASH,2012-06-17,0
ASH,2012-06-18,0
ASH,2012-06-19,0
ASH,2012-06-20,0
ASH,2012-06-21,0
ASH,2012-06-22,0
ASH,2012-06-23,4e-4
ASH,2012-06-24,0
ASH,2012-06-25,9.000000000000001e-4
ASH,2012-06-26,1e-4
ASH,2012-06-27,9.000000000000001e-4
ASH,2012-06-28,0.03
ASH,2012-06-29,0.1905
ASH,2012-06-30,0
ASH,2012-07-01,0
ASH,2012-07-02,1e-4
ASH,2012-07-03,0
ASH,2012-07-04,0.2401
ASH,2012-07-05,0
ASH,2012-07-06,0
ASH,2012-07-07,2e-4
ASH,2012-07-08,0
ASH,2012-07-09,0
ASH,2012-07-10,0
ASH,2012-07-11,4e-4
ASH,2012-07-12,1e-4
ASH,2012-07-13,2e-4
ASH,2012-07-14,3.0000000000000003e-4
ASH,2012-07-15,1e-4
ASH,2012-07-16,0.0103
ASH,2012-07-17,0
ASH,2012-07-18,0.07010000000000001
ASH,2012-07-19,0
ASH,2012-07-20,0
ASH,2012-07-21,3.0000000000000003e-4
ASH,2012-07-22,1e-4
ASH,2012-07-23,0.060000000000000005
ASH,2012-07-24,0.020300000000000002
ASH,2012-07-25,0
ASH,2012-07-26,2e-4
ASH,2012-07-27,0.050499999999999996
ASH,2012-07-28,0.0502
ASH,2012-07-29,0.0302
ASH,2012-07-30,2e-4
ASH,2012-07-31,2e-4
ASH,2012-08-01,2e-4
ASH,2012-08-02,0.0202
ASH,2012-08-03,0
ASH,2012-08-04,0.7802
ASH,2012-08-05,0.0402
ASH,2012-08-06,0.1
ASH,2012-08-07,1e-4
ASH,2012-08-08,4e-4
ASH,2012-08-09,0.6902999999999999
ASH,2012-08-10,0.6701
